"date.time","Site","Region","Farm","site_ID","Plot","Moisture"
2017-05-11 17:00:00,"B5","Border",5,"Border5","D1",43.1
2017-05-11 18:00:00,"B5","Border",5,"Border5","D1",43
2017-05-11 19:00:00,"B5","Border",5,"Border5","D1",43
2017-05-11 20:00:00,"B5","Border",5,"Border5","D1",43.1
2017-05-11 21:00:00,"B5","Border",5,"Border5","D1",43.1
2017-05-11 22:00:00,"B5","Border",5,"Border5","D1",43.2
2017-05-11 23:00:00,"B5","Border",5,"Border5","D1",43.2
2017-05-12 00:00:00,"B5","Border",5,"Border5","D1",43.2
2017-05-12 01:00:00,"B5","Border",5,"Border5","D1",43.3
2017-05-12 02:00:00,"B5","Border",5,"Border5","D1",43.3
2017-05-12 03:00:00,"B5","Border",5,"Border5","D1",43.3
2017-05-12 04:00:00,"B5","Border",5,"Border5","D1",43.4
2017-05-12 05:00:00,"B5","Border",5,"Border5","D1",43.4
2017-05-12 06:00:00,"B5","Border",5,"Border5","D1",43.5
2017-05-12 07:00:00,"B5","Border",5,"Border5","D1",44.4
2017-05-12 08:00:00,"B5","Border",5,"Border5","D1",45.3
2017-05-12 09:00:00,"B5","Border",5,"Border5","D1",50.5
2017-05-12 10:00:00,"B5","Border",5,"Border5","D1",51.6
2017-05-12 11:00:00,"B5","Border",5,"Border5","D1",52
2017-05-12 12:00:00,"B5","Border",5,"Border5","D1",52.2
2017-05-12 13:00:00,"B5","Border",5,"Border5","D1",52.3
2017-05-12 14:00:00,"B5","Border",5,"Border5","D1",52.3
2017-05-12 15:00:00,"B5","Border",5,"Border5","D1",52.3
2017-05-12 16:00:00,"B5","Border",5,"Border5","D1",52.3
2017-05-12 17:00:00,"B5","Border",5,"Border5","D1",52.3
2017-05-12 18:00:00,"B5","Border",5,"Border5","D1",52.3
2017-05-12 19:00:00,"B5","Border",5,"Border5","D1",52.3
2017-05-12 20:00:00,"B5","Border",5,"Border5","D1",52.4
2017-05-12 21:00:00,"B5","Border",5,"Border5","D1",52.4
2017-05-12 22:00:00,"B5","Border",5,"Border5","D1",52.4
2017-05-12 23:00:00,"B5","Border",5,"Border5","D1",52.5
2017-05-13 00:00:00,"B5","Border",5,"Border5","D1",53.1
2017-05-13 01:00:00,"B5","Border",5,"Border5","D1",54.3
2017-05-13 02:00:00,"B5","Border",5,"Border5","D1",54.8
2017-05-13 03:00:00,"B5","Border",5,"Border5","D1",55.2
2017-05-13 04:00:00,"B5","Border",5,"Border5","D1",55.5
2017-05-13 05:00:00,"B5","Border",5,"Border5","D1",55.8
2017-05-13 06:00:00,"B5","Border",5,"Border5","D1",56.6
2017-05-13 07:00:00,"B5","Border",5,"Border5","D1",61.1
2017-05-13 08:00:00,"B5","Border",5,"Border5","D1",63.6
2017-05-13 09:00:00,"B5","Border",5,"Border5","D1",66
2017-05-13 10:00:00,"B5","Border",5,"Border5","D1",67.6
2017-05-13 11:00:00,"B5","Border",5,"Border5","D1",67.9
2017-05-13 12:00:00,"B5","Border",5,"Border5","D1",67.7
2017-05-13 13:00:00,"B5","Border",5,"Border5","D1",67.3
2017-05-13 14:00:00,"B5","Border",5,"Border5","D1",67.1
2017-05-13 15:00:00,"B5","Border",5,"Border5","D1",67
2017-05-13 16:00:00,"B5","Border",5,"Border5","D1",66.9
2017-05-13 17:00:00,"B5","Border",5,"Border5","D1",66.8
2017-05-13 18:00:00,"B5","Border",5,"Border5","D1",66.9
2017-05-13 19:00:00,"B5","Border",5,"Border5","D1",67.3
2017-05-13 20:00:00,"B5","Border",5,"Border5","D1",67.8
2017-05-13 21:00:00,"B5","Border",5,"Border5","D1",75.6
2017-05-13 22:00:00,"B5","Border",5,"Border5","D1",76.3
2017-05-13 23:00:00,"B5","Border",5,"Border5","D1",76
2017-05-14 00:00:00,"B5","Border",5,"Border5","D1",75.8
2017-05-14 01:00:00,"B5","Border",5,"Border5","D1",75.8
2017-05-14 02:00:00,"B5","Border",5,"Border5","D1",75.9
2017-05-14 03:00:00,"B5","Border",5,"Border5","D1",75.7
2017-05-14 04:00:00,"B5","Border",5,"Border5","D1",75.8
2017-05-14 05:00:00,"B5","Border",5,"Border5","D1",75.9
2017-05-14 06:00:00,"B5","Border",5,"Border5","D1",76
2017-05-14 07:00:00,"B5","Border",5,"Border5","D1",76.1
2017-05-14 08:00:00,"B5","Border",5,"Border5","D1",76.1
2017-05-14 09:00:00,"B5","Border",5,"Border5","D1",75.9
2017-05-14 10:00:00,"B5","Border",5,"Border5","D1",75.8
2017-05-14 11:00:00,"B5","Border",5,"Border5","D1",75.4
2017-05-14 12:00:00,"B5","Border",5,"Border5","D1",74.9
2017-05-14 13:00:00,"B5","Border",5,"Border5","D1",74.4
2017-05-14 14:00:00,"B5","Border",5,"Border5","D1",73.9
2017-05-14 15:00:00,"B5","Border",5,"Border5","D1",73.6
2017-05-14 16:00:00,"B5","Border",5,"Border5","D1",73.1
2017-05-14 17:00:00,"B5","Border",5,"Border5","D1",72.9
2017-05-14 18:00:00,"B5","Border",5,"Border5","D1",73
2017-05-14 19:00:00,"B5","Border",5,"Border5","D1",73
2017-05-14 20:00:00,"B5","Border",5,"Border5","D1",73.1
2017-05-14 21:00:00,"B5","Border",5,"Border5","D1",73.2
2017-05-14 22:00:00,"B5","Border",5,"Border5","D1",73.2
2017-05-14 23:00:00,"B5","Border",5,"Border5","D1",73.3
2017-05-15 00:00:00,"B5","Border",5,"Border5","D1",73.4
2017-05-15 01:00:00,"B5","Border",5,"Border5","D1",73.4
2017-05-15 02:00:00,"B5","Border",5,"Border5","D1",73.4
2017-05-15 03:00:00,"B5","Border",5,"Border5","D1",73.5
2017-05-15 04:00:00,"B5","Border",5,"Border5","D1",75.1
2017-05-15 05:00:00,"B5","Border",5,"Border5","D1",76.3
2017-05-15 06:00:00,"B5","Border",5,"Border5","D1",78.3
2017-05-15 07:00:00,"B5","Border",5,"Border5","D1",79.7
2017-05-15 08:00:00,"B5","Border",5,"Border5","D1",82
2017-05-15 09:00:00,"B5","Border",5,"Border5","D1",82.8
2017-05-15 10:00:00,"B5","Border",5,"Border5","D1",82.7
2017-05-15 11:00:00,"B5","Border",5,"Border5","D1",81.6
2017-05-15 12:00:00,"B5","Border",5,"Border5","D1",80.6
2017-05-15 13:00:00,"B5","Border",5,"Border5","D1",80.1
2017-05-15 14:00:00,"B5","Border",5,"Border5","D1",79.8
2017-05-15 15:00:00,"B5","Border",5,"Border5","D1",79.4
2017-05-15 16:00:00,"B5","Border",5,"Border5","D1",79.1
2017-05-15 17:00:00,"B5","Border",5,"Border5","D1",79
2017-05-15 18:00:00,"B5","Border",5,"Border5","D1",78.9
2017-05-15 19:00:00,"B5","Border",5,"Border5","D1",78.8
2017-05-15 20:00:00,"B5","Border",5,"Border5","D1",78.8
2017-05-15 21:00:00,"B5","Border",5,"Border5","D1",78.8
2017-05-15 22:00:00,"B5","Border",5,"Border5","D1",78.8
2017-05-15 23:00:00,"B5","Border",5,"Border5","D1",78.8
2017-05-16 00:00:00,"B5","Border",5,"Border5","D1",78.8
2017-05-16 01:00:00,"B5","Border",5,"Border5","D1",78.8
2017-05-16 02:00:00,"B5","Border",5,"Border5","D1",78.8
2017-05-16 03:00:00,"B5","Border",5,"Border5","D1",78.7
2017-05-16 04:00:00,"B5","Border",5,"Border5","D1",78.8
2017-05-16 05:00:00,"B5","Border",5,"Border5","D1",78.8
2017-05-16 06:00:00,"B5","Border",5,"Border5","D1",78.8
2017-05-16 07:00:00,"B5","Border",5,"Border5","D1",78.8
2017-05-16 08:00:00,"B5","Border",5,"Border5","D1",78.8
2017-05-16 09:00:00,"B5","Border",5,"Border5","D1",78.7
2017-05-16 10:00:00,"B5","Border",5,"Border5","D1",78.5
2017-05-16 11:00:00,"B5","Border",5,"Border5","D1",78.5
2017-05-16 12:00:00,"B5","Border",5,"Border5","D1",78.2
2017-05-16 13:00:00,"B5","Border",5,"Border5","D1",77.8
2017-05-16 14:00:00,"B5","Border",5,"Border5","D1",77.5
2017-05-16 15:00:00,"B5","Border",5,"Border5","D1",77.2
2017-05-16 16:00:00,"B5","Border",5,"Border5","D1",76.9
2017-05-16 17:00:00,"B5","Border",5,"Border5","D1",76.5
2017-05-16 18:00:00,"B5","Border",5,"Border5","D1",76.3
2017-05-16 19:00:00,"B5","Border",5,"Border5","D1",76.4
2017-05-16 20:00:00,"B5","Border",5,"Border5","D1",76.5
2017-05-16 21:00:00,"B5","Border",5,"Border5","D1",76.6
2017-05-16 22:00:00,"B5","Border",5,"Border5","D1",76.8
2017-05-16 23:00:00,"B5","Border",5,"Border5","D1",77
2017-05-17 00:00:00,"B5","Border",5,"Border5","D1",77.2
2017-05-17 01:00:00,"B5","Border",5,"Border5","D1",77.3
2017-05-17 02:00:00,"B5","Border",5,"Border5","D1",77.4
2017-05-17 03:00:00,"B5","Border",5,"Border5","D1",77.5
2017-05-17 04:00:00,"B5","Border",5,"Border5","D1",77.6
2017-05-17 05:00:00,"B5","Border",5,"Border5","D1",77.8
2017-05-17 06:00:00,"B5","Border",5,"Border5","D1",77.8
2017-05-17 07:00:00,"B5","Border",5,"Border5","D1",77.9
2017-05-17 08:00:00,"B5","Border",5,"Border5","D1",77.8
2017-05-17 09:00:00,"B5","Border",5,"Border5","D1",77.6
2017-05-17 10:00:00,"B5","Border",5,"Border5","D1",77.5
2017-05-17 11:00:00,"B5","Border",5,"Border5","D1",77.1
2017-05-17 12:00:00,"B5","Border",5,"Border5","D1",76.1
2017-05-17 13:00:00,"B5","Border",5,"Border5","D1",75.4
