"day","Site","Region","Farm","Plot","site_ID","treatment","Avg.Moisture","control_mean","plot_meanC_ratio","acc_rain"
8,"C5","Cork","5","D3","Cork5","Drought",21.784375,38.9317708333333,0.559552636155668,0
8,"D1","Dublin","1","C1","Dublin1","Control",36.6895833333333,38.2427083333333,0.959387682837142,177.287943840308
8,"D1","Dublin","1","C2","Dublin1","Control",39.7822916666667,38.2427083333333,1.04025821915943,177.287943840308
8,"D1","Dublin","1","C3","Dublin1","Control",38.25625,38.2427083333333,1.00035409800343,177.287943840308
8,"D1","Dublin","1","D1","Dublin1","Drought",36.3901041666667,38.2427083333333,0.951556669299703,0
8,"D1","Dublin","1","D2","Dublin1","Drought",13.2369791666667,38.2427083333333,0.346130798354806,0
8,"D1","Dublin","1","D3","Dublin1","Drought",41.4828125,38.2427083333333,1.0847247568981,0
8,"D2","Dublin","2","C1","Dublin2","Control",34.4088541666667,32.3027777777778,1.06519799638834,224.530735493088
8,"D2","Dublin","2","C2","Dublin2","Control",33.1552083333333,32.3027777777778,1.02638876945567,224.530735493088
8,"D2","Dublin","2","C3","Dublin2","Control",29.3442708333333,32.3027777777778,0.908413234155989,224.530735493088
8,"D2","Dublin","2","D1","Dublin2","Drought",21.825,32.3027777777778,0.675638489981942,0
8,"D2","Dublin","2","D2","Dublin2","Drought",16.3125,32.3027777777778,0.50498753117207,0
8,"D2","Dublin","2","D3","Dublin2","Drought",18.8020833333333,32.3027777777778,0.582057786568063,0
8,"D3","Dublin","3","C1","Dublin3","Control",56.6401041666667,53.5392361111111,1.05791767460261,222.173375607019
8,"D3","Dublin","3","C2","Dublin3","Control",55.8765625,53.5392361111111,1.0436563268112,222.173375607019
8,"D3","Dublin","3","C3","Dublin3","Control",48.1010416666667,53.5392361111111,0.898425998586188,222.173375607019
8,"D3","Dublin","3","D1","Dublin3","Drought",16.2635416666667,53.5392361111111,0.303768653570525,0
8,"D3","Dublin","3","D2","Dublin3","Drought",16.978125,53.5392361111111,0.317115562963299,0
8,"D3","Dublin","3","D3","Dublin3","Drought",15.5265625,53.5392361111111,0.290003437250718,0
8,"D4","Dublin","4","C1","Dublin4","Control",54.4671875,49.7876736111111,1.09398940640288,225.163606643712
8,"D4","Dublin","4","C2","Dublin4","Control",52.6005208333333,49.7876736111111,1.05649685992949,225.163606643712
8,"D4","Dublin","4","C3","Dublin4","Control",42.2953125,49.7876736111111,0.849513733667623,225.163606643712
8,"D4","Dublin","4","D1","Dublin4","Drought",23.7125,49.7876736111111,0.476272504419811,0
8,"D4","Dublin","4","D2","Dublin4","Drought",18.6161458333333,49.7876736111111,0.373910739006266,0
8,"D4","Dublin","4","D3","Dublin4","Drought",11.3760416666667,49.7876736111111,0.228491127252186,0
