"Day","Site","Region","Farm","Plot","site_ID","treatment","Avg.Moisture","control_mean","Ratio"
0,"B1","Border",1,"C1","Border1","C",57.6,53.5333333333333,1.07596513075965
0,"B1","Border",1,"C2","Border1","C",55.2,53.5333333333333,1.03113325031133
0,"B1","Border",1,"C3","Border1","C",47.8,53.5333333333333,0.892901618929016
0,"B1","Border",1,"D1","Border1","D",14.3,53.5333333333333,0.267123287671233
0,"B1","Border",1,"D2","Border1","D",18.2,53.5333333333333,0.339975093399751
0,"B1","Border",1,"D3","Border1","D",18,53.5333333333333,0.336239103362391
0,"B3","Border",3,"C1","Border3","C",30.4,39.6666666666667,0.766386554621849
0,"B3","Border",3,"C2","Border3","C",44.7,39.6666666666667,1.12689075630252
0,"B3","Border",3,"C3","Border3","C",43.9,39.6666666666667,1.10672268907563
0,"B3","Border",3,"D1","Border3","D",56.7,39.6666666666667,1.42941176470588
0,"B3","Border",3,"D2","Border3","D",16.6,39.6666666666667,0.418487394957983
0,"B3","Border",3,"D3","Border3","D",24.8,39.6666666666667,0.625210084033614
0,"B5","Border",5,"C1","Border5","C",43,49.8666666666667,0.862299465240642
0,"B5","Border",5,"C2","Border5","C",53.5,49.8666666666667,1.07286096256684
0,"B5","Border",5,"C3","Border5","C",53.1,49.8666666666667,1.06483957219251
0,"B5","Border",5,"D1","Border5","D",18.3,49.8666666666667,0.366978609625668
0,"B5","Border",5,"D2","Border5","D",12,49.8666666666667,0.240641711229947
0,"B5","Border",5,"D3","Border5","D",24.1,49.8666666666667,0.483288770053476
0,"C1","Cork",1,"C1","Cork1","C",33.4,40.7666666666667,0.819296811120196
0,"C1","Cork",1,"C2","Cork1","C",46.2,40.7666666666667,1.13327882256746
0,"C1","Cork",1,"C3","Cork1","C",42.7,40.7666666666667,1.04742436631235
0,"C1","Cork",1,"D1","Cork1","D",45.4,40.7666666666667,1.113654946852
0,"C1","Cork",1,"D2","Cork1","D",19.1,40.7666666666667,0.46852003270646
0,"C1","Cork",1,"D3","Cork1","D",17.8,40.7666666666667,0.436631234668847
0,"C2","Cork",2,"C1","Cork2","C",NA,26.9,NA
0,"C2","Cork",2,"C2","Cork2","C",31.5,26.9,1.17100371747212
0,"C2","Cork",2,"C3","Cork2","C",22.3,26.9,0.828996282527881
0,"C2","Cork",2,"D1","Cork2","D",10.1,26.9,0.37546468401487
0,"C2","Cork",2,"D2","Cork2","D",13.1,26.9,0.486988847583643
0,"C2","Cork",2,"D3","Cork2","D",15,26.9,0.557620817843866
0,"C3","Cork",3,"C1","Cork3","C",23.5,23.5,1
0,"C3","Cork",3,"C2","Cork3","C",NA,23.5,NA
0,"C3","Cork",3,"C3","Cork3","C",NA,23.5,NA
0,"C3","Cork",3,"D1","Cork3","D",NA,23.5,NA
0,"C3","Cork",3,"D2","Cork3","D",20.6,23.5,0.876595744680851
0,"C3","Cork",3,"D3","Cork3","D",26.7,23.5,1.13617021276596
0,"C4","Cork",4,"C1","Cork4","C",43.2,45,0.96
0,"C4","Cork",4,"C2","Cork4","C",47.8,45,1.06222222222222
0,"C4","Cork",4,"C3","Cork4","C",44,45,0.977777777777778
0,"C4","Cork",4,"D1","Cork4","D",53.6,45,1.19111111111111
0,"C4","Cork",4,"D2","Cork4","D",9.4,45,0.208888888888889
0,"C4","Cork",4,"D3","Cork4","D",29.8,45,0.662222222222222
0,"C5","Cork",5,"C1","Cork5","C",44,44.9333333333333,0.979228486646884
0,"C5","Cork",5,"C2","Cork5","C",45,44.9333333333333,1.00148367952522
0,"C5","Cork",5,"C3","Cork5","C",45.8,44.9333333333333,1.01928783382789
0,"C5","Cork",5,"D1","Cork5","D",25.4,44.9333333333333,0.565281899109792
0,"C5","Cork",5,"D2","Cork5","D",26.4,44.9333333333333,0.587537091988131
0,"C5","Cork",5,"D3","Cork5","D",21.6,44.9333333333333,0.480712166172107
0,"D1","Dublin",1,"C1","Dublin1","C",27.4,29.3,0.935153583617747
0,"D1","Dublin",1,"C2","Dublin1","C",32.1,29.3,1.09556313993174
0,"D1","Dublin",1,"C3","Dublin1","C",28.4,29.3,0.969283276450512
0,"D1","Dublin",1,"D1","Dublin1","D",26.5,29.3,0.904436860068259
0,"D1","Dublin",1,"D2","Dublin1","D",13,29.3,0.443686006825939
0,"D1","Dublin",1,"D3","Dublin1","D",33.6,29.3,1.14675767918089
0,"D2","Dublin",2,"C1","Dublin2","C",28.7,27.9,1.02867383512545
0,"D2","Dublin",2,"C2","Dublin2","C",28.4,27.9,1.01792114695341
0,"D2","Dublin",2,"C3","Dublin2","C",26.6,27.9,0.953405017921147
0,"D2","Dublin",2,"D1","Dublin2","D",18.9,27.9,0.67741935483871
0,"D2","Dublin",2,"D2","Dublin2","D",14.4,27.9,0.516129032258065
0,"D2","Dublin",2,"D3","Dublin2","D",17.9,27.9,0.6415770609319
