"date.time","Site","Region","Farm","site_ID","Plot","Moisture","treatment","Day"
2017-07-16 12:00:00,"B1","Border",1,"Border1","D1",14.3,"D",0
2017-07-16 13:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-16 14:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-16 15:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-16 16:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-16 17:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-16 18:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-16 19:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-16 20:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-16 21:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-16 22:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-16 23:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-17 00:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-17 01:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-17 02:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-17 03:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-17 04:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-17 05:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-17 06:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-17 07:00:00,"B1","Border",1,"Border1","D1",14.1,"D",0
2017-07-17 08:00:00,"B1","Border",1,"Border1","D1",14.1,"D",0
2017-07-17 09:00:00,"B1","Border",1,"Border1","D1",14.1,"D",0
2017-07-17 10:00:00,"B1","Border",1,"Border1","D1",14.1,"D",0
2017-07-17 11:00:00,"B1","Border",1,"Border1","D1",14.1,"D",0
2017-07-17 12:00:00,"B1","Border",1,"Border1","D1",14.1,"D",0
2017-07-17 13:00:00,"B1","Border",1,"Border1","D1",14,"D",0
2017-07-17 14:00:00,"B1","Border",1,"Border1","D1",14,"D",0
