"date.time","Site","Region","Farm","site_ID","Plot","Moisture","treatment","Day"
2017-08-02 12:00:00,"B5","Border",5,"Border5","C2",82.7,"C",16
2017-08-18 12:00:00,"B5","Border",5,"Border5","C2",82.5,"C",32
2017-09-19 12:00:00,"B5","Border",5,"Border5","C2",85.3,"C",64
2017-07-17 12:00:00,"B5","Border",5,"Border5","C3",53.1,"C",0
2017-07-25 12:00:00,"B5","Border",5,"Border5","C3",57.9,"C",8
2017-08-02 12:00:00,"B5","Border",5,"Border5","C3",71.2,"C",16
2017-08-18 12:00:00,"B5","Border",5,"Border5","C3",71.2,"C",32
2017-09-19 12:00:00,"B5","Border",5,"Border5","C3",77.4,"C",64
2017-07-17 12:00:00,"B5","Border",5,"Border5","D3",24.1,"D",0
2017-07-25 12:00:00,"B5","Border",5,"Border5","D3",23.3,"D",8
2017-08-02 12:00:00,"B5","Border",5,"Border5","D3",29.4,"D",16
2017-08-18 12:00:00,"B5","Border",5,"Border5","D3",51.3,"D",32
2017-09-19 12:00:00,"B5","Border",5,"Border5","D3",57.6,"D",64
2017-07-18 12:00:00,"D1","Dublin",1,"Dublin1","D1",26.5,"D",0
2017-07-26 12:00:00,"D1","Dublin",1,"Dublin1","D1",39.4,"D",8
2017-08-03 12:00:00,"D1","Dublin",1,"Dublin1","D1",40.4,"D",16
2017-08-19 12:00:00,"D1","Dublin",1,"Dublin1","D1",38.4,"D",32
2017-09-20 12:00:00,"D1","Dublin",1,"Dublin1","D1",44.5,"D",64
2017-07-18 12:00:00,"D1","Dublin",1,"Dublin1","C1",27.4,"C",0
2017-07-26 12:00:00,"D1","Dublin",1,"Dublin1","C1",45.2,"C",8
2017-08-03 12:00:00,"D1","Dublin",1,"Dublin1","C1",50.6,"C",16
2017-08-19 12:00:00,"D1","Dublin",1,"Dublin1","C1",51.7,"C",32
2017-09-20 12:00:00,"D1","Dublin",1,"Dublin1","C1",59.2,"C",64
2017-07-18 12:00:00,"D1","Dublin",1,"Dublin1","D2",13,"D",0
2017-07-26 12:00:00,"D1","Dublin",1,"Dublin1","D2",16.7,"D",8
2017-08-03 12:00:00,"D1","Dublin",1,"Dublin1","D2",22,"D",16
2017-08-19 12:00:00,"D1","Dublin",1,"Dublin1","D2",31.6,"D",32
2017-09-20 12:00:00,"D1","Dublin",1,"Dublin1","D2",41,"D",64
2017-07-18 12:00:00,"D1","Dublin",1,"Dublin1","C2",32.1,"C",0
2017-07-26 12:00:00,"D1","Dublin",1,"Dublin1","C2",47,"C",8
2017-08-03 12:00:00,"D1","Dublin",1,"Dublin1","C2",47.5,"C",16
2017-08-19 12:00:00,"D1","Dublin",1,"Dublin1","C2",42.7,"C",32
2017-09-20 12:00:00,"D1","Dublin",1,"Dublin1","C2",45.9,"C",64
2017-07-18 12:00:00,"D1","Dublin",1,"Dublin1","D3",33.6,"D",0
2017-07-26 12:00:00,"D1","Dublin",1,"Dublin1","D3",45.6,"D",8
2017-08-03 12:00:00,"D1","Dublin",1,"Dublin1","D3",44.7,"D",16
