"Day","Site","Region","Farm","Plot","site_ID","treatment","Avg.Moisture","control_mean","Ratio"
0,"B1","Border",1,"D1","Border1","D",14.15,52.3986111111111,0.27004532562886
0,"B1","Border",1,"D2","Border1","D",18.1083333333333,52.3986111111111,0.345588040395473
0,"B1","Border",1,"D3","Border1","D",17.825,52.3986111111111,0.340180772391126
0,"B3","Border",3,"D1","Border3","D",54.6708333333333,37.2805555555556,1.46647045674689
0,"B3","Border",3,"D2","Border3","D",16.5041666666667,37.2805555555556,0.442701736085239
0,"B3","Border",3,"D3","Border3","D",24.175,37.2805555555556,0.648461366515163
0,"B5","Border",5,"D1","Border5","D",17.6666666666667,46.5680555555556,0.379373080020281
0,"B5","Border",5,"D2","Border5","D",11.6541666666667,46.5680555555556,0.250260968117152
0,"B5","Border",5,"D3","Border5","D",23.8375,46.5680555555556,0.511885233678308
0,"C1","Cork",1,"D1","Cork1","D",42.4541666666667,42.4680555555556,0.999672956797593
0,"C1","Cork",1,"D2","Cork1","D",18.7416666666667,42.4680555555556,0.441312097328057
0,"C1","Cork",1,"D3","Cork1","D",18,42.4680555555556,0.423847990319521
0,"C2","Cork",2,"D1","Cork2","D",10.7208333333333,24.7458333333333,0.433237918841556
0,"C2","Cork",2,"D2","Cork2","D",20.0875,24.7458333333333,0.811752820340125
0,"C2","Cork",2,"D3","Cork2","D",14.2041666666667,24.7458333333333,0.574002357299209
0,"C3","Cork",3,"D1","Cork3","D",NA,25.0625,NA
0,"C3","Cork",3,"D2","Cork3","D",21.55,25.0625,0.859850374064838
0,"C3","Cork",3,"D3","Cork3","D",28.3875,25.0625,1.13266832917706
0,"C4","Cork",4,"D1","Cork4","D",54.4541666666667,46.2138888888889,1.17830738714913
0,"C4","Cork",4,"D2","Cork4","D",9.54583333333333,46.2138888888889,0.20655767265733
0,"C4","Cork",4,"D3","Cork4","D",35.0166666666667,46.2138888888889,0.757708721524313
0,"C5","Cork",5,"D1","Cork5","D",25.925,44.6305555555556,0.580880064728948
0,"C5","Cork",5,"D2","Cork5","D",26.525,44.6305555555556,0.594323769216406
0,"C5","Cork",5,"D3","Cork5","D",21.5416666666667,44.6305555555556,0.482666334723346
0,"D1","Dublin",1,"D1","Dublin1","D",25.2166666666667,27.9930555555556,0.900818655420491
0,"D1","Dublin",1,"D2","Dublin1","D",12.9125,27.9930555555556,0.461275117836765
0,"D1","Dublin",1,"D3","Dublin1","D",32.6833333333333,27.9930555555556,1.16755147606053
0,"D2","Dublin",2,"D1","Dublin2","D",19.425,28.3138888888889,0.686059060139311
0,"D2","Dublin",2,"D2","Dublin2","D",14.3166666666667,28.3138888888889,0.505641126263122
0,"D2","Dublin",2,"D3","Dublin2","D",17.7208333333333,28.3138888888889,0.625870695575395
0,"D3","Dublin",3,"D1","Dublin3","D",15.4625,49.5430555555556,0.312102267948754
0,"D3","Dublin",3,"D2","Dublin3","D",16.4166666666667,49.5430555555556,0.331361610271649
0,"D3","Dublin",3,"D3","Dublin3","D",13.9041666666667,49.5430555555556,0.28064814555241
0,"D4","Dublin",4,"D1","Dublin4","D",18.4083333333333,46.3430555555556,0.397218809002907
0,"D4","Dublin",4,"D2","Dublin4","D",11.5,46.3430555555556,0.248149369137171
0,"D4","Dublin",4,"D3","Dublin4","D",9.95,46.3430555555556,0.214703149818683
0,"D5","Dublin",5,"D1","Dublin5","D",78.2916666666667,77.7069444444444,1.00752471000375
0,"D5","Dublin",5,"D2","Dublin5","D",82.0541666666667,77.7069444444444,1.05594380596615
0,"D5","Dublin",5,"D3","Dublin5","D",87.925,77.7069444444444,1.1314947541511
0,"L1","Limerick",1,"D1","Limerick1","D",10.85,50.3888888888889,0.215325248070562
0,"L1","Limerick",1,"D2","Limerick1","D",58.5583333333333,50.3888888888889,1.16212789415656
0,"L1","Limerick",1,"D3","Limerick1","D",4.74166666666667,50.3888888888889,0.0941014332965821
0,"L2","Limerick",2,"D1","Limerick2","D",NA,NA,NA
0,"L2","Limerick",2,"D2","Limerick2","D",NA,NA,NA
0,"L2","Limerick",2,"D3","Limerick2","D",NA,NA,NA
0,"L3","Limerick",3,"D1","Limerick3","D",40.5291666666667,65.0402777777778,0.623139507570096
0,"L3","Limerick",3,"D2","Limerick3","D",15.0708333333333,65.0402777777778,0.231715390036089
0,"L3","Limerick",3,"D3","Limerick3","D",68.0125,65.0402777777778,1.04569817847915
0,"L4","Limerick",4,"D1","Limerick4","D",17.725,19.8791666666667,0.891636973380843
0,"L4","Limerick",4,"D2","Limerick4","D",62.3958333333333,19.8791666666667,3.13875497799204
0,"L4","Limerick",4,"D3","Limerick4","D",58.6541666666667,19.8791666666667,2.95053447914483
