"date.time","Site","Region","Farm","site_ID","Plot","Moisture","treatment","Day"
2017-07-16 16:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-24 16:00:00,"B1","Border",1,"Border1","D1",25.1,"D",8
2017-08-01 16:00:00,"B1","Border",1,"Border1","D1",44.6,"D",16
2017-08-17 16:00:00,"B1","Border",1,"Border1","D1",51.8,"D",32
2017-07-16 16:00:00,"B1","Border",1,"Border1","C1",56.8,"C",0
2017-07-24 16:00:00,"B1","Border",1,"Border1","C1",56.6,"C",8
2017-08-01 16:00:00,"B1","Border",1,"Border1","C1",60.3,"C",16
2017-08-17 16:00:00,"B1","Border",1,"Border1","C1",61.2,"C",32
2017-07-16 16:00:00,"B1","Border",1,"Border1","D2",18.2,"D",0
2017-07-24 16:00:00,"B1","Border",1,"Border1","D2",21.8,"D",8
2017-08-01 16:00:00,"B1","Border",1,"Border1","D2",31.1,"D",16
2017-08-17 16:00:00,"B1","Border",1,"Border1","D2",40.8,"D",32
2017-07-16 16:00:00,"B1","Border",1,"Border1","C2",54.3,"C",0
2017-07-24 16:00:00,"B1","Border",1,"Border1","C2",53.9,"C",8
2017-08-01 16:00:00,"B1","Border",1,"Border1","C2",58.9,"C",16
2017-08-17 16:00:00,"B1","Border",1,"Border1","C2",58.5,"C",32
2017-07-16 16:00:00,"B1","Border",1,"Border1","C3",47,"C",0
2017-07-24 16:00:00,"B1","Border",1,"Border1","C3",49.8,"C",8
2017-08-01 16:00:00,"B1","Border",1,"Border1","C3",59.1,"C",16
2017-08-17 16:00:00,"B1","Border",1,"Border1","C3",53.2,"C",32
2017-07-16 16:00:00,"B1","Border",1,"Border1","D3",17.9,"D",0
2017-07-24 16:00:00,"B1","Border",1,"Border1","D3",18.3,"D",8
2017-08-01 16:00:00,"B1","Border",1,"Border1","D3",19.5,"D",16
2017-08-17 16:00:00,"B1","Border",1,"Border1","D3",27.6,"D",32
2017-07-17 16:00:00,"B3","Border",3,"Border3","D1",55.4,"D",0
2017-07-25 16:00:00,"B3","Border",3,"Border3","D1",54.3,"D",8
2017-08-02 16:00:00,"B3","Border",3,"Border3","D1",65.5,"D",16
2017-08-18 16:00:00,"B3","Border",3,"Border3","D1",59.6,"D",32
2017-09-19 16:00:00,"B3","Border",3,"Border3","D1",66.7,"D",64
2017-07-17 16:00:00,"B3","Border",3,"Border3","C1",29.7,"C",0
2017-07-25 16:00:00,"B3","Border",3,"Border3","C1",39.4,"C",8
2017-08-02 16:00:00,"B3","Border",3,"Border3","C1",52,"C",16
2017-08-18 16:00:00,"B3","Border",3,"Border3","C1",44.7,"C",32
2017-09-19 16:00:00,"B3","Border",3,"Border3","C1",61.2,"C",64
2017-07-17 16:00:00,"B3","Border",3,"Border3","D2",16.6,"D",0
2017-07-25 16:00:00,"B3","Border",3,"Border3","D2",24.4,"D",8
2017-08-02 16:00:00,"B3","Border",3,"Border3","D2",44.4,"D",16
2017-08-18 16:00:00,"B3","Border",3,"Border3","D2",32.7,"D",32
2017-09-19 16:00:00,"B3","Border",3,"Border3","D2",57.4,"D",64
2017-07-17 16:00:00,"B3","Border",3,"Border3","C3",42.2,"C",0
2017-07-25 16:00:00,"B3","Border",3,"Border3","C3",50.2,"C",8
2017-08-02 16:00:00,"B3","Border",3,"Border3","C3",63.9,"C",16
2017-08-18 16:00:00,"B3","Border",3,"Border3","C3",55,"C",32
2017-09-19 16:00:00,"B3","Border",3,"Border3","C3",68.6,"C",64
2017-07-17 16:00:00,"B3","Border",3,"Border3","C2",42.9,"C",0
2017-07-25 16:00:00,"B3","Border",3,"Border3","C2",57.7,"C",8
2017-08-02 16:00:00,"B3","Border",3,"Border3","C2",70,"C",16
2017-08-18 16:00:00,"B3","Border",3,"Border3","C2",64.2,"C",32
2017-09-19 16:00:00,"B3","Border",3,"Border3","C2",70.6,"C",64
2017-07-17 16:00:00,"B3","Border",3,"Border3","D3",24.6,"D",0
2017-07-25 16:00:00,"B3","Border",3,"Border3","D3",33.7,"D",8
2017-08-02 16:00:00,"B3","Border",3,"Border3","D3",53.3,"D",16
2017-08-18 16:00:00,"B3","Border",3,"Border3","D3",52.9,"D",32
2017-09-19 16:00:00,"B3","Border",3,"Border3","D3",66.5,"D",64
2017-07-17 16:00:00,"B5","Border",5,"Border5","D1",17.8,"D",0
2017-07-25 16:00:00,"B5","Border",5,"Border5","D1",16.5,"D",8
2017-08-02 16:00:00,"B5","Border",5,"Border5","D1",37.7,"D",16
2017-08-18 16:00:00,"B5","Border",5,"Border5","D1",55.3,"D",32
2017-09-19 16:00:00,"B5","Border",5,"Border5","D1",61.2,"D",64
2017-07-17 16:00:00,"B5","Border",5,"Border5","C1",40.7,"C",0
2017-07-25 16:00:00,"B5","Border",5,"Border5","C1",53.5,"C",8
2017-08-02 16:00:00,"B5","Border",5,"Border5","C1",81.3,"C",16
2017-08-18 16:00:00,"B5","Border",5,"Border5","C1",76.8,"C",32
2017-09-19 16:00:00,"B5","Border",5,"Border5","C1",71.1,"C",64
2017-07-17 16:00:00,"B5","Border",5,"Border5","D2",11.6,"D",0
2017-07-25 16:00:00,"B5","Border",5,"Border5","D2",11.2,"D",8
2017-08-02 16:00:00,"B5","Border",5,"Border5","D2",14.4,"D",16
2017-08-18 16:00:00,"B5","Border",5,"Border5","D2",31.4,"D",32
2017-09-19 16:00:00,"B5","Border",5,"Border5","D2",50.3,"D",64
2017-07-17 16:00:00,"B5","Border",5,"Border5","C2",51.7,"C",0
2017-07-25 16:00:00,"B5","Border",5,"Border5","C2",60.1,"C",8
2017-08-02 16:00:00,"B5","Border",5,"Border5","C2",82.9,"C",16
2017-08-18 16:00:00,"B5","Border",5,"Border5","C2",81.6,"C",32
2017-09-19 16:00:00,"B5","Border",5,"Border5","C2",83.7,"C",64
2017-07-17 16:00:00,"B5","Border",5,"Border5","C3",51.5,"C",0
2017-07-25 16:00:00,"B5","Border",5,"Border5","C3",57.1,"C",8
2017-08-02 16:00:00,"B5","Border",5,"Border5","C3",71.4,"C",16
2017-08-18 16:00:00,"B5","Border",5,"Border5","C3",70.6,"C",32
2017-09-19 16:00:00,"B5","Border",5,"Border5","C3",76.6,"C",64
2017-07-17 16:00:00,"B5","Border",5,"Border5","D3",23.9,"D",0
2017-07-25 16:00:00,"B5","Border",5,"Border5","D3",23.2,"D",8
2017-08-02 16:00:00,"B5","Border",5,"Border5","D3",29.8,"D",16
2017-08-18 16:00:00,"B5","Border",5,"Border5","D3",50.4,"D",32
2017-09-19 16:00:00,"B5","Border",5,"Border5","D3",57,"D",64
2017-07-29 16:00:00,"C1","Cork",1,"Cork1","D1",43.8,"D",0
2017-08-06 16:00:00,"C1","Cork",1,"Cork1","D1",38.4,"D",8
2017-08-14 16:00:00,"C1","Cork",1,"Cork1","D1",47,"D",16
2017-08-30 16:00:00,"C1","Cork",1,"Cork1","D1",51.9,"D",32
2017-10-01 16:00:00,"C1","Cork",1,"Cork1","D1",51,"D",64
2017-07-29 16:00:00,"C1","Cork",1,"Cork1","C1",36.9,"C",0
2017-08-06 16:00:00,"C1","Cork",1,"Cork1","C1",34,"C",8
2017-08-14 16:00:00,"C1","Cork",1,"Cork1","C1",41.3,"C",16
2017-08-30 16:00:00,"C1","Cork",1,"Cork1","C1",45.5,"C",32
2017-10-01 16:00:00,"C1","Cork",1,"Cork1","C1",45.8,"C",64
2017-07-29 16:00:00,"C1","Cork",1,"Cork1","D2",18.6,"D",0
2017-08-06 16:00:00,"C1","Cork",1,"Cork1","D2",24.6,"D",8
2017-08-14 16:00:00,"C1","Cork",1,"Cork1","D2",28.7,"D",16
2017-08-30 16:00:00,"C1","Cork",1,"Cork1","D2",42.1,"D",32
2017-10-01 16:00:00,"C1","Cork",1,"Cork1","D2",46.5,"D",64
2017-07-29 16:00:00,"C1","Cork",1,"Cork1","C2",48.8,"C",0
2017-08-06 16:00:00,"C1","Cork",1,"Cork1","C2",45.4,"C",8
2017-08-14 16:00:00,"C1","Cork",1,"Cork1","C2",48.4,"C",16
2017-08-30 16:00:00,"C1","Cork",1,"Cork1","C2",53.1,"C",32
2017-10-01 16:00:00,"C1","Cork",1,"Cork1","C2",54.1,"C",64
2017-07-29 16:00:00,"C1","Cork",1,"Cork1","D3",18,"D",0
2017-08-06 16:00:00,"C1","Cork",1,"Cork1","D3",21.6,"D",8
2017-08-14 16:00:00,"C1","Cork",1,"Cork1","D3",34,"D",16
2017-08-30 16:00:00,"C1","Cork",1,"Cork1","D3",45.3,"D",32
2017-10-01 16:00:00,"C1","Cork",1,"Cork1","D3",51.1,"D",64
2017-07-29 16:00:00,"C1","Cork",1,"Cork1","C3",44.5,"C",0
2017-08-06 16:00:00,"C1","Cork",1,"Cork1","C3",42.3,"C",8
2017-08-14 16:00:00,"C1","Cork",1,"Cork1","C3",40.7,"C",16
2017-08-30 16:00:00,"C1","Cork",1,"Cork1","C3",51.1,"C",32
2017-10-01 16:00:00,"C1","Cork",1,"Cork1","C3",58.3,"C",64
2017-07-29 16:00:00,"C2","Cork",2,"Cork2","D1",10.7,"D",0
