"date.time","Site","Region","Farm","site_ID","Plot","Moisture","treatment","Day"
2017-07-16 12:00:00,"B1","Border",1,"Border1","D1",14.3,"D",0
2017-07-16 13:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-16 14:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-16 15:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-16 16:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-16 17:00:00,"B1","Border",1,"Border1","D1",14.2,"D",0
2017-07-24 12:00:00,"B1","Border",1,"Border1","D1",25.7,"D",8
2017-07-24 13:00:00,"B1","Border",1,"Border1","D1",25.6,"D",8
2017-07-24 14:00:00,"B1","Border",1,"Border1","D1",25.4,"D",8
2017-07-24 15:00:00,"B1","Border",1,"Border1","D1",25.2,"D",8
2017-07-24 16:00:00,"B1","Border",1,"Border1","D1",25.1,"D",8
2017-07-24 17:00:00,"B1","Border",1,"Border1","D1",24.9,"D",8
2017-08-01 12:00:00,"B1","Border",1,"Border1","D1",45.3,"D",16
2017-08-01 13:00:00,"B1","Border",1,"Border1","D1",45.1,"D",16
2017-08-01 14:00:00,"B1","Border",1,"Border1","D1",44.9,"D",16
2017-08-01 15:00:00,"B1","Border",1,"Border1","D1",44.8,"D",16
2017-08-01 16:00:00,"B1","Border",1,"Border1","D1",44.6,"D",16
2017-08-01 17:00:00,"B1","Border",1,"Border1","D1",44.6,"D",16
2017-08-17 12:00:00,"B1","Border",1,"Border1","D1",52.9,"D",32
2017-08-17 13:00:00,"B1","Border",1,"Border1","D1",52.7,"D",32
2017-08-17 14:00:00,"B1","Border",1,"Border1","D1",52.5,"D",32
2017-08-17 15:00:00,"B1","Border",1,"Border1","D1",52.2,"D",32
2017-08-17 16:00:00,"B1","Border",1,"Border1","D1",51.8,"D",32
2017-08-17 17:00:00,"B1","Border",1,"Border1","D1",51.5,"D",32
2017-07-16 12:00:00,"B1","Border",1,"Border1","C1",57.6,"C",0
2017-07-16 13:00:00,"B1","Border",1,"Border1","C1",57.4,"C",0
