"Day","Site","Region","Farm","Plot","site_ID","treatment","Avg.Moisture","control_mean","Ratio"
0,"B1","Border",1,"D1","Border1","D",14.0777777777778,52.1861111111111,0.269761004950232
0,"B1","Border",1,"D2","Border1","D",17.9666666666667,52.1861111111111,0.344280619577367
0,"B1","Border",1,"D3","Border1","D",17.7972222222222,52.1861111111111,0.341033693511471
0,"B3","Border",3,"D1","Border3","D",54.5277777777778,36.9,1.47771755495333
0,"B3","Border",3,"D2","Border3","D",16.5138888888889,36.9,0.447530864197531
0,"B3","Border",3,"D3","Border3","D",24.1222222222222,36.9,0.653718759409816
0,"B5","Border",5,"D1","Border5","D",17.5972222222222,46.162037037037,0.381205495938221
0,"B5","Border",5,"D2","Border5","D",11.6,46.162037037037,0.251288737338281
0,"B5","Border",5,"D3","Border5","D",23.7805555555556,46.162037037037,0.51515394644469
0,"C1","Cork",1,"D1","Cork1","D",42.5333333333333,42.3259259259259,1.00490024501225
0,"C1","Cork",1,"D2","Cork1","D",18.7527777777778,42.3259259259259,0.443056527826391
0,"C1","Cork",1,"D3","Cork1","D",17.9944444444444,42.3259259259259,0.42514000700035
0,"C2","Cork",2,"D1","Cork2","D",10.7,25.2027777777778,0.42455637606084
0,"C2","Cork",2,"D2","Cork2","D",19.6888888888889,25.2027777777778,0.781219001432823
0,"C2","Cork",2,"D3","Cork2","D",14.5861111111111,25.2027777777778,0.57875013777141
0,"C3","Cork",3,"D1","Cork3","D",NA,25.2861111111111,NA
0,"C3","Cork",3,"D2","Cork3","D",21.6083333333333,25.2861111111111,0.854553443919587
0,"C3","Cork",3,"D3","Cork3","D",28.6472222222222,25.2861111111111,1.13292321212787
0,"C4","Cork",4,"D1","Cork4","D",54.7111111111111,46.2101851851852,1.18396216963552
0,"C4","Cork",4,"D2","Cork4","D",9.58611111111111,46.2101851851852,0.20744584927966
0,"C4","Cork",4,"D3","Cork4","D",34.7666666666667,46.2101851851852,0.75235938846254
0,"C5","Cork",5,"D1","Cork5","D",25.9111111111111,44.5416666666667,0.581727471156844
0,"C5","Cork",5,"D2","Cork5","D",26.55,44.5416666666667,0.596071094480823
0,"C5","Cork",5,"D3","Cork5","D",21.5805555555556,44.5416666666667,0.484502650452136
0,"D1","Dublin",1,"D1","Dublin1","D",27.2555555555556,28.3333333333333,0.961960784313726
