"Day","Site","Region","Farm","Plot","site_ID","treatment","Avg.Moisture","control_mean","Ratio"
0,"B1","Border",1,"D1","Border1","D",14.2,52.5638888888889,0.270147439623738
0,"B1","Border",1,"D2","Border1","D",18.1666666666667,52.5638888888889,0.34561116102098
0,"B1","Border",1,"D3","Border1","D",17.8833333333333,52.5638888888889,0.340220895206891
0,"B3","Border",3,"D1","Border3","D",54.9416666666667,37.65,1.45927401505091
0,"B3","Border",3,"D2","Border3","D",16.5416666666667,37.65,0.439353696325808
0,"B3","Border",3,"D3","Border3","D",24.3583333333333,37.65,0.64696768481629
0,"B5","Border",5,"D1","Border5","D",17.7,46.9555555555556,0.376952200662565
0,"B5","Border",5,"D2","Border5","D",11.6666666666667,46.9555555555556,0.248461902508282
0,"B5","Border",5,"D3","Border5","D",23.8833333333333,46.9555555555556,0.508637008991955
0,"C1","Cork",1,"D1","Cork1","D",42.65,42.7166666666667,0.998439328911432
0,"C1","Cork",1,"D2","Cork1","D",18.6666666666667,42.7166666666667,0.436987904799064
0,"C1","Cork",1,"D3","Cork1","D",18,42.7166666666667,0.421381193913383
0,"C2","Cork",2,"D1","Cork2","D",10.6666666666667,24.625,0.433164128595601
0,"C2","Cork",2,"D2","Cork2","D",19.95,24.625,0.810152284263959
0,"C2","Cork",2,"D3","Cork2","D",13.7,24.625,0.556345177664975
0,"C3","Cork",3,"D1","Cork3","D",NA,23.9,NA
0,"C3","Cork",3,"D2","Cork3","D",20.8,23.9,0.870292887029289
0,"C3","Cork",3,"D3","Cork3","D",26.7583333333333,23.9,1.11959553695955
0,"C4","Cork",4,"D1","Cork4","D",54.325,46.1166666666667,1.17799060354174
0,"C4","Cork",4,"D2","Cork4","D",9.425,46.1166666666667,0.204372967112396
0,"C4","Cork",4,"D3","Cork4","D",34.7166666666667,46.1166666666667,0.752800867365378
0,"C5","Cork",5,"D1","Cork5","D",25.825,44.6944444444444,0.577812305779988
0,"C5","Cork",5,"D2","Cork5","D",26.4583333333333,44.6944444444444,0.591982597886886
0,"C5","Cork",5,"D3","Cork5","D",21.4833333333333,44.6944444444444,0.480671224362958
0,"D1","Dublin",1,"D1","Dublin1","D",25.2833333333333,27.975,0.903783139708073
0,"D1","Dublin",1,"D2","Dublin1","D",12.9,27.975,0.46112600536193
0,"D1","Dublin",1,"D3","Dublin1","D",32.8083333333333,27.975,1.17277330950253
0,"D2","Dublin",2,"D1","Dublin2","D",19.4,28.35,0.684303350970018
0,"D2","Dublin",2,"D2","Dublin2","D",14.3333333333333,28.35,0.505584950029395
0,"D2","Dublin",2,"D3","Dublin2","D",17.7083333333333,28.35,0.624632569077013
0,"D3","Dublin",3,"D1","Dublin3","D",15.4333333333333,49.7527777777778,0.310200435486573
0,"D3","Dublin",3,"D2","Dublin3","D",16.3916666666667,49.7527777777778,0.329462341577801
0,"D3","Dublin",3,"D3","Dublin3","D",13.8666666666667,49.7527777777778,0.278711406398303
0,"D4","Dublin",4,"D1","Dublin4","D",15.95,41.0222222222222,0.388813651137595
0,"D4","Dublin",4,"D2","Dublin4","D",10.9333333333333,41.0222222222222,0.266522210184182
0,"D4","Dublin",4,"D3","Dublin4","D",9.19166666666667,41.0222222222222,0.224065547128927
