"Day","Site","Region","Farm","Plot","site_ID","treatment","Avg.Moisture","control_mean","Ratio"
0,"B1","Border",1,"C1","Border1","C",56.8,52.7,1.07779886148008
0,"B1","Border",1,"C2","Border1","C",54.3,52.7,1.0303605313093
0,"B1","Border",1,"C3","Border1","C",47,52.7,0.891840607210626
0,"B1","Border",1,"D1","Border1","D",14.2,52.7,0.269449715370019
0,"B1","Border",1,"D2","Border1","D",18.2,52.7,0.345351043643264
0,"B1","Border",1,"D3","Border1","D",17.9,52.7,0.33965844402277
0,"B3","Border",3,"C1","Border3","C",29.7,38.2666666666667,0.776132404181185
0,"B3","Border",3,"C2","Border3","C",42.9,38.2666666666667,1.12108013937282
0,"B3","Border",3,"C3","Border3","C",42.2,38.2666666666667,1.10278745644599
0,"B3","Border",3,"D1","Border3","D",55.4,38.2666666666667,1.44773519163763
0,"B3","Border",3,"D2","Border3","D",16.6,38.2666666666667,0.433797909407666
0,"B3","Border",3,"D3","Border3","D",24.6,38.2666666666667,0.642857142857143
0,"B5","Border",5,"C1","Border5","C",40.7,47.9666666666667,0.848505906879778
0,"B5","Border",5,"C2","Border5","C",51.7,47.9666666666667,1.0778318276581
0,"B5","Border",5,"C3","Border5","C",51.5,47.9666666666667,1.07366226546213
0,"B5","Border",5,"D1","Border5","D",17.8,47.9666666666667,0.371091035441279
0,"B5","Border",5,"D2","Border5","D",11.6,47.9666666666667,0.241834607366227
0,"B5","Border",5,"D3","Border5","D",23.9,47.9666666666667,0.498262682418346
0,"C1","Cork",1,"C1","Cork1","C",36.9,43.4,0.850230414746544
0,"C1","Cork",1,"C2","Cork1","C",48.8,43.4,1.12442396313364
0,"C1","Cork",1,"C3","Cork1","C",44.5,43.4,1.02534562211982
0,"C1","Cork",1,"D1","Cork1","D",43.8,43.4,1.00921658986175
0,"C1","Cork",1,"D2","Cork1","D",18.6,43.4,0.428571428571429
0,"C1","Cork",1,"D3","Cork1","D",18,43.4,0.414746543778802
0,"C2","Cork",2,"C1","Cork2","C",NA,26.25,NA
0,"C2","Cork",2,"C2","Cork2","C",29.3,26.25,1.11619047619048
0,"C2","Cork",2,"C3","Cork2","C",23.2,26.25,0.883809523809524
0,"C2","Cork",2,"D1","Cork2","D",10.7,26.25,0.407619047619048
0,"C2","Cork",2,"D2","Cork2","D",21.3,26.25,0.811428571428571
0,"C2","Cork",2,"D3","Cork2","D",13.7,26.25,0.521904761904762
0,"C3","Cork",3,"C1","Cork3","C",23.9,23.9,1
0,"C3","Cork",3,"C2","Cork3","C",NA,23.9,NA
0,"C3","Cork",3,"C3","Cork3","C",NA,23.9,NA
0,"C3","Cork",3,"D1","Cork3","D",NA,23.9,NA
0,"C3","Cork",3,"D2","Cork3","D",20.8,23.9,0.870292887029289
0,"C3","Cork",3,"D3","Cork3","D",26.7,23.9,1.11715481171548
0,"C4","Cork",4,"C1","Cork4","C",46.3,46.5333333333333,0.994985673352435
0,"C4","Cork",4,"C2","Cork4","C",49.8,46.5333333333333,1.0702005730659
0,"C4","Cork",4,"C3","Cork4","C",43.5,46.5333333333333,0.934813753581662
0,"C4","Cork",4,"D1","Cork4","D",58,46.5333333333333,1.24641833810888
0,"C4","Cork",4,"D2","Cork4","D",9.3,46.5333333333333,0.199856733524355
0,"C4","Cork",4,"D3","Cork4","D",36.2,46.5333333333333,0.777936962750716
0,"C5","Cork",5,"C1","Cork5","C",42.2,43.7333333333333,0.964939024390244
0,"C5","Cork",5,"C2","Cork5","C",44.1,43.7333333333333,1.00838414634146
0,"C5","Cork",5,"C3","Cork5","C",44.9,43.7333333333333,1.02667682926829
0,"C5","Cork",5,"D1","Cork5","D",25.3,43.7333333333333,0.578506097560976
0,"C5","Cork",5,"D2","Cork5","D",26.4,43.7333333333333,0.603658536585366
0,"C5","Cork",5,"D3","Cork5","D",21.5,43.7333333333333,0.491615853658537
