"Day","Site","Region","Farm","Plot","site_ID","treatment","Avg.Moisture","control_mean","Ratio"
0,"B1","Border",1,"C1","Border1","C",56.8944444444444,52.7203703703704,1.07917383820998
0,"B1","Border",1,"C2","Border1","C",54.1833333333333,52.7203703703704,1.02774948189258
0,"B1","Border",1,"C3","Border1","C",47.0833333333333,52.7203703703704,0.893076679897432
0,"B1","Border",1,"D1","Border1","D",14.2055555555556,52.7203703703704,0.269450981769644
0,"B1","Border",1,"D2","Border1","D",18.1666666666667,52.7203703703704,0.344585338438301
0,"B1","Border",1,"D3","Border1","D",17.8833333333333,52.7203703703704,0.339211071692016
0,"B3","Border",3,"C1","Border3","C",29.5555555555556,37.9592592592593,0.778612547565616
0,"B3","Border",3,"C2","Border3","C",42.6611111111111,37.9592592592593,1.12386574299932
0,"B3","Border",3,"C3","Border3","C",41.6611111111111,37.9592592592593,1.09752170943507
0,"B3","Border",3,"D1","Border3","D",55.2055555555556,37.9592592592593,1.45433700848863
0,"B3","Border",3,"D2","Border3","D",16.55,37.9592592592593,0.43599375548834
0,"B3","Border",3,"D3","Border3","D",24.4166666666667,37.9592592592593,0.643233486193775
0,"B5","Border",5,"C1","Border5","C",40.1666666666667,47.4240740740741,0.846967862860713
0,"B5","Border",5,"C2","Border5","C",51.0888888888889,47.4240740740741,1.07727751962201
0,"B5","Border",5,"C3","Border5","C",51.0166666666667,47.4240740740741,1.07575461751728
0,"B5","Border",5,"D1","Border5","D",17.8,47.4240740740741,0.375336795657777
0,"B5","Border",5,"D2","Border5","D",11.7222222222222,47.4240740740741,0.24717872622906
0,"B5","Border",5,"D3","Border5","D",23.9055555555556,47.4240740740741,0.504080596665235
0,"C1","Cork",1,"C1","Cork1","C",36.1555555555556,42.7277777777778,0.846183851254713
0,"C1","Cork",1,"C2","Cork1","C",48.15,42.7277777777778,1.12690157326746
0,"C1","Cork",1,"C3","Cork1","C",43.8777777777778,42.7277777777778,1.02691457547783
0,"C1","Cork",1,"D1","Cork1","D",43.1833333333333,42.7277777777778,1.01066181250813
0,"C1","Cork",1,"D2","Cork1","D",18.6888888888889,42.7277777777778,0.437394357040697
0,"C1","Cork",1,"D3","Cork1","D",17.9888888888889,42.7277777777778,0.421011571967234
0,"C2","Cork",2,"C1","Cork2","C",NA,25.0305555555556,NA
0,"C2","Cork",2,"C2","Cork2","C",27.2055555555556,25.0305555555556,1.08689379647098
0,"C2","Cork",2,"C3","Cork2","C",22.8555555555556,25.0305555555556,0.91310620352902
0,"C2","Cork",2,"D1","Cork2","D",10.5611111111111,25.0305555555556,0.421928753745422
0,"C2","Cork",2,"D2","Cork2","D",18.8833333333333,25.0305555555556,0.754411275108201
0,"C2","Cork",2,"D3","Cork2","D",13.9111111111111,25.0305555555556,0.555765175896127
0,"C3","Cork",3,"C1","Cork3","C",23.9333333333333,23.9333333333333,1
0,"C3","Cork",3,"C2","Cork3","C",NA,23.9333333333333,NA
0,"C3","Cork",3,"C3","Cork3","C",NA,23.9333333333333,NA
0,"C3","Cork",3,"D1","Cork3","D",NA,23.9333333333333,NA
0,"C3","Cork",3,"D2","Cork3","D",20.8722222222222,23.9333333333333,0.872098421541319
0,"C3","Cork",3,"D3","Cork3","D",26.8055555555556,23.9333333333333,1.12000928505107
0,"C4","Cork",4,"C1","Cork4","C",46.0055555555556,45.7814814814815,1.00489442601731
0,"C4","Cork",4,"C2","Cork4","C",46.7444444444444,45.7814814814815,1.02103389693391
0,"C4","Cork",4,"C3","Cork4","C",44.5944444444444,45.7814814814815,0.974071677048783
0,"C4","Cork",4,"D1","Cork4","D",54.7666666666667,45.7814814814815,1.19626243831405
0,"C4","Cork",4,"D2","Cork4","D",9.42222222222222,45.7814814814815,0.205808591537901
0,"C4","Cork",4,"D3","Cork4","D",33.7166666666667,45.7814814814815,0.736469541299248
0,"C5","Cork",5,"C1","Cork5","C",43.2222222222222,44.5555555555556,0.970074812967581
0,"C5","Cork",5,"C2","Cork5","C",45,44.5555555555556,1.00997506234414
0,"C5","Cork",5,"C3","Cork5","C",45.4444444444444,44.5555555555556,1.01995012468828
0,"C5","Cork",5,"D1","Cork5","D",25.7333333333333,44.5555555555556,0.577556109725686
0,"C5","Cork",5,"D2","Cork5","D",26.45,44.5555555555556,0.593640897755611
0,"C5","Cork",5,"D3","Cork5","D",21.5166666666667,44.5555555555556,0.482917705735661
0,"D1","Dublin",1,"C1","Dublin1","C",26.3444444444444,28.1722222222222,0.935121277854467
0,"D1","Dublin",1,"C2","Dublin1","C",31.0833333333333,28.1722222222222,1.10333267600079
0,"D1","Dublin",1,"C3","Dublin1","C",27.0888888888889,28.1722222222222,0.961546046144745
0,"D1","Dublin",1,"D1","Dublin1","D",25.4611111111111,28.1722222222222,0.903766515480181
0,"D1","Dublin",1,"D2","Dublin1","D",12.9111111111111,28.1722222222222,0.4582922500493
0,"D1","Dublin",1,"D3","Dublin1","D",32.9222222222222,28.1722222222222,1.16860579767304
0,"D2","Dublin",2,"C1","Dublin2","C",29.9611111111111,28.3425925925926,1.05710552107155
0,"D2","Dublin",2,"C2","Dublin2","C",28.2333333333333,28.3425925925926,0.996145050637047
0,"D2","Dublin",2,"C3","Dublin2","C",26.8333333333333,28.3425925925926,0.946749428291408
0,"D2","Dublin",2,"D1","Dublin2","D",19.3444444444444,28.3425925925926,0.682522051617119
0,"D2","Dublin",2,"D2","Dublin2","D",14.3277777777778,28.3425925925926,0.505521071545247
0,"D2","Dublin",2,"D3","Dublin2","D",17.7388888888889,28.3425925925926,0.625873897419144
0,"D3","Dublin",3,"C1","Dublin3","C",54.7,49.9703703703704,1.09464868069967
0,"D3","Dublin",3,"C2","Dublin3","C",53.4333333333333,49.9703703703704,1.06930032611918
0,"D3","Dublin",3,"C3","Dublin3","C",41.7777777777778,49.9703703703704,0.836050993181144
0,"D3","Dublin",3,"D1","Dublin3","D",15.45,49.9703703703704,0.30918321968574
0,"D3","Dublin",3,"D2","Dublin3","D",16.3777777777778,49.9703703703704,0.327749777646012
0,"D3","Dublin",3,"D3","Dublin3","D",13.8388888888889,49.9703703703704,0.276941891491254
0,"D4","Dublin",4,"C1","Dublin4","C",48.15,41.5851851851852,1.15786426790167
0,"D4","Dublin",4,"C2","Dublin4","C",42.9666666666667,41.5851851851852,1.03322052012825
0,"D4","Dublin",4,"C3","Dublin4","C",33.6388888888889,41.5851851851852,0.808915211970075
0,"D4","Dublin",4,"D1","Dublin4","D",16.1111111111111,41.5851851851852,0.387424296401853
0,"D4","Dublin",4,"D2","Dublin4","D",10.9444444444444,41.5851851851852,0.263181332383327
0,"D4","Dublin",4,"D3","Dublin4","D",9.24444444444444,41.5851851851852,0.222301389383684
